DatasetName,BACC1_S(103) BACC1_S(141) BACC1_S(146) BACC1_S(36) BACC1_T(139) BACC1_T(161),BACC1_S(10) BACC1_S(106) BACC1_S(110) BACC1_S(137) BACC1_S(150) BACC1_S(35) BACC1_S(62) BACC1_S(76) BACC1_S(82) BACC1_S(83) BACC1_S(9) BACC1_S(96)
AH2018_LFQ_IT_3_N,,0.5481200297954812
KS2014_Intensity C6,,0.5523558616938519
ZQ2022_N3,,
HW2015_Ratio H/L normalized Exp1,,
CK2022_12 40-1,,0.5658016681440323
NJH2024_Sub7_MICT_Pre,,
ZX2022_Control Replicate 1,,
JJ2018_Ratio H/M normalized pP1,,
CK2022_16 40-1,,0.5653241869819817
AH2018_SILAC_IT_2_C,,0.5467009766900983
CK2022_5 40-1,,0.5649912336964894
AH2018_LFQ_3_X,,
UK2020_UA_3,,
LY2019_P7-,,0.5527357544205587
GF2025_P5_Adh,,0.5380132107678502
RB2022_1_PostStrength,,
JAW2011_Ratio H/L LS1b,,0.5574107926240194
FSO2013_Ratio H/L normalized Rep3___1,0.4758994358839739,0.5652178739938069
SR2019_HCC1954_Biol_repl_3,,0.5391542639216202
CR2017_Ratio Replicate 2.2,,0.5695677879591963
VOI2024_0.1uM 2 h_1 mono,,
MV2014_Ratio L/M normalized A2___1 (10 min),,
RNJ2017_Log2_ratio_Tsup:Tstim_D3,,
CK2022_11 16-1,,0.5621037763129568
ZQ2022_C1,,
CR2017_Ratio Replicate 2.1,,0.5465764769912093
PG2020_Intensity CT_B,,0.5269068937156985
JJ2018_Ratio M/L normalized___2,,
AH2018_SILAC_MR_1_N,,0.530109541945012
KS2014_Intensity pY_E5_1,,
JW2021_Before_3,,
NJH2015_iTRAQ Subject 2 117/116 (Exercise/Basal) (normalized),,
MV2014_Ratio M/H normalized B3___3 (30 min),,
FS2019_db/db1,,
NJH2025_Sub9_HIIT_Pre,,
JAW2011_Ratio H/L_1,,0.5548102801684757
RCJD2014_20min_3,,0.5697011921280274
AH2018_LFQ_3_C,,0.5480227178810454
JJ2018_Ratio M/L normalized pP3___2,,
AMK2021_45I_p1,,
NJH2025_Sub8_HIIT_Post,,
AH2018_LFQ_M_3_X,,0.5404046021544077
YA2020_Reporter_intensity_Cancer_No.4,,0.568341281537866
KS2014_Intensity pY_E5_2,,
FSO2013_Ratio H/L normalized Rep1___3,,
GF2025_P4_Sph,,0.54338085179336
RB2022_2_PreEndurance,,
JW2021_Before_1,,
KBE2022_Log2_Ex_25_T,,
AS2011_Ratio H/L Normalized by Proteins Inhi_2,,
MV2014_Ratio L/M normalized A2___2 (10 min),,
JJ2018_Ratio M/L normalized___1,,
FR2021_Intensity.H,,
CK2022_14 16-1,,0.5613235823450716
AST2020_anti-CD3+PDL2,,
MV2014_Ratio M/L normalized B1___1 (5 min),,
KBE2022_Log2_Ex_19_T,,
KS2014_Intensity pY_N1,,
RB2022_1_RecoveryEndurance,,
FSO2013_Ratio H/M normalized Rep1___2,,
HS2024_8_I_T1,,
NJH2015_iTRAQ Subject 1 115/114 (Exercise/Basal) (normalized),,
EP2017_Mitotic R#2 log2 ratio,,0.5435281969131416
AH2018_TMTMS2_1_X,0.45661690613370937,0.5652534189787088
KTGR2014_Ratio M L Normalized Rep2_AA_starvation_0_15,,
ZCP2016_Ratio H/L Rep 3,,
AS2011_Ratio H/L Normalized RNAi_1_3,,
SR2019_MCF10A_Biol_repl_1,,
NJH2025_Sub8_MICT_Mid,,
EJN2021_5_Ex_Ins,,
HS2024_6_I_N2,,
HH2022_Reporter intensity 4,,
RBK2021_1326T Late,,
TM2022_mock.12h.B,,
NJH2024_Sub12_MICT_Pre,,
RCJD2014_15min_3,,0.5640439313385268
MV2014_Ratio L/H normalized B3___2 (5 min),,
LG2023_Control-3_intensity,,0.5450971647747878
JJ2018_Ratio H/L normalized pP3___2,,
CF2017_FTE 15,,0.5596031445506419
HS2024_4_I_T3,,
AH2018_SILAC_1_X,,0.5482296351552279
PG2020_Intensity 10h_B,,0.5108078039527612
AH2018_TMTMS3_1_X,0.4652198594050918,0.5670024154403612
CF2017_FTE 14,,0.5546713549204892
NJH2024_Sub13_HIIT_Post,,
RM2024_Intensity D6-3___3,,
NJH2025_Sub7_HIIT_Pre,,
RBK2021_1259T Early,,
RKK2015_IKK+TNF-α/IKKb,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,0.4875698248357055,
PG2020_Intensity 6h_A,0.44481173057772866,0.5257968922466622
SR2019_HCC1419_Biol_repl_3,,0.5456931050562155
KBE2022_Log2_Ex_14_T,,
EP2017_Untreated R#2 normalized log2 ratio,0.4683931626964543,0.5429033966002735
RM2024_Intensity D0-2___1,,
DB2022_Intensity L1,,
LY2019_P5+,,0.5421542394332879
HS2024_5_I_N2,,
SAS2015_PLX/AZD_Exp3,,
EP2017_Pervanadate R#2 log2 ratio,0.45495743593303045,0.5406420134773465
AS2011_Ratio H/L Normalized RNAi_2_1,,
