DatasetName,ATP2B4_S(1149) ATP2B4_S(13) ATP2B4_S(316) ATP2B4_S(328) ATP2B4_T(1133) ATP2B4_T(1181),ATP2B4_S(1256) ATP2B4_S(7)
RCJD2014_15min_3,0.5534943415705647,
MV2014_Ratio L/H normalized B3___2 (5 min),,
LG2023_Control-3_intensity,,
JJ2018_Ratio H/L normalized pP3___2,,
CF2017_FTE 15,,
HS2024_4_I_T3,,
AH2018_SILAC_1_X,0.5835505876889057,
PG2020_Intensity 10h_B,0.5802870225742739,
AH2018_TMTMS3_1_X,,
CF2017_FTE 14,,
NJH2024_Sub13_HIIT_Post,,
RM2024_Intensity D6-3___3,,
NJH2025_Sub7_HIIT_Pre,,
RBK2021_1259T Early,,
RKK2015_IKK+TNF-α/IKKb,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,
PG2020_Intensity 6h_A,0.5632317229562562,
SR2019_HCC1419_Biol_repl_3,,
KBE2022_Log2_Ex_14_T,,
EP2017_Untreated R#2 normalized log2 ratio,0.5317314760495265,
RM2024_Intensity D0-2___1,,
DB2022_Intensity L1,,
LY2019_P5+,0.5687940952441111,
HS2024_5_I_N2,,
SAS2015_PLX/AZD_Exp3,,
EP2017_Pervanadate R#2 log2 ratio,0.5896794097326475,
AS2011_Ratio H/L Normalized RNAi_2_1,,
