DatasetName,DPM1_S(21) DPM1_S(3) DPM1_S(435) DPM1_S(7),DPM1_S(9)
CKC2017_log2 normalized phosphoproteomics_15min_rep#2,,
YA2020_Reporter_intensity_Cancer_No.2,0.4632436288088835,
FSO2013_Ratio H/M normalized Rep2___3,,
RB2022_8_PreSprint,,
AH2018_SILAC_IT_3_C,,
WZ2023_Pu_025_10min,,0.4651414034727641
RM2024_Intensity D2-2___3,,
AS2011_Ratio H/L_1,,
RCJD2014_10min_3,,
FSO2013_Ratio M/L normalized Rep3___1,0.379507872892196,0.4139704690462846
SR2019_JIMT1_Biol_repl_4,,
YP2020_Intensity C10_R2_mult_log2,,0.4213745401153774
ZCP2016_Ratio H/L Rep 2,,
CF2017_EOC 4,0.521057707028789,0.8152984940140866
JJ2018_Ratio H/L normalized pP1___1,,
WZ2023_Pe_010_30min,,0.5272062612811916
MV2014_Ratio L/M normalized B2___3 (30 min),,
AH2018_LFQ_IT_3_N,,
KS2014_Intensity C6,,
ZQ2022_N3,,
HW2015_Ratio H/L normalized Exp1,,
CK2022_12 40-1,0.4606131644484988,0.6237864907622142
NJH2024_Sub7_MICT_Pre,,
ZX2022_Control Replicate 1,,
JJ2018_Ratio H/M normalized pP1,,
CK2022_16 40-1,0.45713117513868734,0.6153401884187188
AH2018_SILAC_IT_2_C,,
CK2022_5 40-1,0.4562026603775503,0.6225861316144575
AH2018_LFQ_3_X,,
UK2020_UA_3,,
LY2019_P7-,0.5558753141708364,0.4207369685693357
GF2025_P5_Adh,,0.6032678656247777
RB2022_1_PostStrength,,
JAW2011_Ratio H/L LS1b,,
FSO2013_Ratio H/L normalized Rep3___1,,0.5391575358248667
SR2019_HCC1954_Biol_repl_3,,
CR2017_Ratio Replicate 2.2,0.4684156825997112,0.4679691069225064
VOI2024_0.1uM 2 h_1 mono,,
MV2014_Ratio L/M normalized A2___1 (10 min),,
RNJ2017_Log2_ratio_Tsup:Tstim_D3,,
CK2022_11 16-1,0.45411986306604174,0.5411979090180444
ZQ2022_C1,,
CR2017_Ratio Replicate 2.1,,0.4466193863856298
PG2020_Intensity CT_B,,0.6879798244641832
JJ2018_Ratio M/L normalized___2,,
AH2018_SILAC_MR_1_N,,
KS2014_Intensity pY_E5_1,,
JW2021_Before_3,,
NJH2015_iTRAQ Subject 2 117/116 (Exercise/Basal) (normalized),,
MV2014_Ratio M/H normalized B3___3 (30 min),,
FS2019_db/db1,,
NJH2025_Sub9_HIIT_Pre,,
JAW2011_Ratio H/L_1,,
RCJD2014_20min_3,,
AH2018_LFQ_3_C,,
JJ2018_Ratio M/L normalized pP3___2,,
AMK2021_45I_p1,,
NJH2025_Sub8_HIIT_Post,,
AH2018_LFQ_M_3_X,,
YA2020_Reporter_intensity_Cancer_No.4,0.4676122281281639,
KS2014_Intensity pY_E5_2,,
FSO2013_Ratio H/L normalized Rep1___3,,
GF2025_P4_Sph,,0.6308585219634355
RB2022_2_PreEndurance,,
JW2021_Before_1,,
KBE2022_Log2_Ex_25_T,0.4792229859926985,0.5324408467431477
AS2011_Ratio H/L Normalized by Proteins Inhi_2,,
MV2014_Ratio L/M normalized A2___2 (10 min),,
JJ2018_Ratio M/L normalized___1,,
FR2021_Intensity.H,,0.7056782126117059
CK2022_14 16-1,0.45479561286696046,0.5319395298177173
AST2020_anti-CD3+PDL2,,
MV2014_Ratio M/L normalized B1___1 (5 min),,
KBE2022_Log2_Ex_19_T,0.4787733996252842,0.6085373620766753
KS2014_Intensity pY_N1,,
RB2022_1_RecoveryEndurance,,
FSO2013_Ratio H/M normalized Rep1___2,,
HS2024_8_I_T1,,0.4033064828471345
NJH2015_iTRAQ Subject 1 115/114 (Exercise/Basal) (normalized),,
EP2017_Mitotic R#2 log2 ratio,,
AH2018_TMTMS2_1_X,,0.3851960341389046
KTGR2014_Ratio M L Normalized Rep2_AA_starvation_0_15,,
ZCP2016_Ratio H/L Rep 3,,
AS2011_Ratio H/L Normalized RNAi_1_3,,
SR2019_MCF10A_Biol_repl_1,,
NJH2025_Sub8_MICT_Mid,,
EJN2021_5_Ex_Ins,,0.5738762369183489
HS2024_6_I_N2,0.494586088206602,0.5688302279115566
HH2022_Reporter intensity 4,,
RBK2021_1326T Late,,
TM2022_mock.12h.B,,
NJH2024_Sub12_MICT_Pre,,
RCJD2014_15min_3,,
MV2014_Ratio L/H normalized B3___2 (5 min),,
LG2023_Control-3_intensity,,
JJ2018_Ratio H/L normalized pP3___2,,
CF2017_FTE 15,,0.854150937128878
HS2024_4_I_T3,0.49546741244610293,0.7486166459449757
AH2018_SILAC_1_X,,
PG2020_Intensity 10h_B,,0.2923545969127124
AH2018_TMTMS3_1_X,,
CF2017_FTE 14,,0.8858388493726927
NJH2024_Sub13_HIIT_Post,,
RM2024_Intensity D6-3___3,,
NJH2025_Sub7_HIIT_Pre,,
RBK2021_1259T Early,,
RKK2015_IKK+TNF-α/IKKb,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,
PG2020_Intensity 6h_A,0.4949943140945537,0.6931887452240335
SR2019_HCC1419_Biol_repl_3,,0.6673766751517519
KBE2022_Log2_Ex_14_T,0.4811557098673681,0.5174863018228844
EP2017_Untreated R#2 normalized log2 ratio,,
RM2024_Intensity D0-2___1,,
DB2022_Intensity L1,,
LY2019_P5+,0.47067658614730323,0.7134391087860255
HS2024_5_I_N2,0.5520983147595255,0.5644925485524528
SAS2015_PLX/AZD_Exp3,,
EP2017_Pervanadate R#2 log2 ratio,,
AS2011_Ratio H/L Normalized RNAi_2_1,,
