DatasetName,HBS1L_S(117) HBS1L_S(127) HBS1L_S(131) HBS1L_S(154) HBS1L_S(215) HBS1L_S(225) HBS1L_S(229) HBS1L_S(49) HBS1L_S(65) HBS1L_S(67) HBS1L_S(69) HBS1L_T(192) HBS1L_T(231) HBS1L_Y(58),HBS1L_S(213) HBS1L_S(5) HBS1L_T(17) HBS1L_T(211)
AH2018_SILAC_1_X,0.5293852577449036,
PG2020_Intensity 10h_B,,
AH2018_TMTMS3_1_X,0.532300631249141,0.331395254548553
CF2017_FTE 14,,
NJH2024_Sub13_HIIT_Post,,
RM2024_Intensity D6-3___3,,
NJH2025_Sub7_HIIT_Pre,,
RBK2021_1259T Early,,
RKK2015_IKK+TNF-α/IKKb,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,
PG2020_Intensity 6h_A,,
SR2019_HCC1419_Biol_repl_3,,
KBE2022_Log2_Ex_14_T,,
EP2017_Untreated R#2 normalized log2 ratio,0.5252451704545227,
RM2024_Intensity D0-2___1,,
DB2022_Intensity L1,,
LY2019_P5+,,
HS2024_5_I_N2,,
SAS2015_PLX/AZD_Exp3,,
EP2017_Pervanadate R#2 log2 ratio,0.5270156124849276,
AS2011_Ratio H/L Normalized RNAi_2_1,,
