DatasetName,OSBPL7_S(223) OSBPL7_S(226) OSBPL7_S(236) OSBPL7_S(272) OSBPL7_S(4),OSBPL7_S(152)
RBK2021_1259T Early,,
RKK2015_IKK+TNF-α/IKKb,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,
PG2020_Intensity 6h_A,,
SR2019_HCC1419_Biol_repl_3,,
KBE2022_Log2_Ex_14_T,0.533471149920749,
EP2017_Untreated R#2 normalized log2 ratio,0.5470365414752363,
RM2024_Intensity D0-2___1,,
DB2022_Intensity L1,,
LY2019_P5+,0.5219747338526279,
HS2024_5_I_N2,,
SAS2015_PLX/AZD_Exp3,,
EP2017_Pervanadate R#2 log2 ratio,0.5162530292658989,
AS2011_Ratio H/L Normalized RNAi_2_1,,
