gene_id,longest_refseq_transcript_id,longest_refseq_length,longest_ucsc_transcript_id,longest_ucsc_length
ASXL1,NM_015338.6,80989,XM_047439945.1,80989
LOC124904720,XR_007067260.1,6714,XR_007068909.1,6815
LOC105371601,XR_922250.3,6702,XR_922250.3,6702
FAM41AY2,NR_028084.1,15777,NR_028084.1,15777
SLED1,NR_003542.1,751,NR_003542.1,751
LOC107984168,XR_001747270.2,16244,XR_001747270.2,16244
PNKP,NM_007254.4,6373,NM_007254.4,6373
LINC02905,NR_171032.1,1969,NR_171032.1,1974
THOC3,NM_032361.4,8785,NM_032361.4,8785
LOC105370222,XR_941992.3,10200,XR_941992.3,10200
LOC107986888,XR_001745713.3,3240,XR_001745713.3,3240
PIGS,NM_033198.4,18138,NM_033198.4,18138
NRDC,NM_001101662.2,89518,NM_002525.3,89518
LOC124904768,XR_007067339.1,17726,XR_007067339.1,17726
ABCB1,NM_001348944.2,210279,NM_001348945.2,210279
SLC4A11,XM_047440543.1,12143,XM_047440543.1,12143
LINC02755,NR_183754.1,258473,NR_183753.1,258473
OR2W1,NM_030903.3,963,NM_030903.3,963
LOC105370819,XR_932250.3,9617,XR_932250.3,9617
CLCA4,NR_024602.2,33677,NM_012128.4,33677
APC,NR_176366.1,138742,NM_001407453.1,138742
SH3GL2,NM_003026.5,218059,NM_003026.5,218059
NLRP3,XM_047443535.1,32741,XM_047443535.1,32741
LOC124903047,XR_007063511.1,2752,XR_007063511.1,2752
LOC105372130,XR_007066382.1,177123,XR_007066382.1,177123
SSB,NM_003142.5,13194,NM_003142.5,13194
MTR,NM_001291939.1,108701,XM_047421183.1,108701
LOC101927418,NR_110050.1,13010,NR_110050.1,13010
HACD2,NM_001329786.2,93500,NM_001329783.2,93500
MED17,NM_004268.5,30682,NM_004268.5,30682
ZNF606-AS1,NR_036508.1,4313,NR_036508.1,4313
LOC105370582,XR_944054.3,42877,XR_944054.3,42877
MIR4666B,NR_049877.1,81,NR_049877.1,81
LOC107987223,XR_001751510.2,8410,XR_001751510.2,8410
MIR4753,NR_039908.1,83,NR_039908.1,83
LOC101928143,NR_135251.1,2708,NR_135251.1,2708
SPINDOC,XM_006718437.2,14261,XM_047426424.1,14261
KLHDC9,NR_033386.2,1986,NM_152366.5,1986
LOC105375419,XR_927793.2,5181,XR_927792.2,5181
LEMD1-DT,NR_148934.1,12967,NR_148934.1,12967
LOC105370594,XR_944073.3,3064,XR_944073.3,3064
STK3,XM_017013756.2,512675,XM_017013756.2,512675
LOC105379073,XR_001742436.3,7442,XR_001742436.3,7442
L3MBTL3,XM_047419407.1,122858,NM_001007102.4,122858
KIRREL3-AS2,NR_046986.1,4345,NR_046986.1,4345
LOC105376097,XR_929975.3,21022,XR_929975.3,21022
MOSPD1,NM_001306188.2,27626,XM_017029653.2,27626
C17orf107,XR_007065253.1,7180,XR_007065254.1,7180
LOC105375323,XR_927595.2,4842,XR_927597.2,4842
SHD,NM_001372011.1,11654,NM_001372011.1,11654
AGBL4,XM_017002595.3,1501444,XM_017002595.3,1501444
CIAO2B,NR_046109.2,2338,NM_016062.4,2338
LOC107984561,XR_007063805.1,9997,XR_007063805.1,9997
LOC124900240,XR_007060655.1,133,XR_007060655.1,133
TENM3-AS2,NR_147188.1,9969,NR_147188.1,9969
PPP2CA,NM_002715.4,31742,NM_002715.4,31742
TRNP1,XM_005245867.4,7195,NM_001013642.3,7195
ABHD5,XR_007095689.1,43502,XM_047448243.1,43502
ASMER2,XR_001755849.2,13070,XR_001755849.2,13070
CAMTA1,XM_011541084.3,984253,XM_047416024.1,984253
KRTAP2-1,NM_001123387.1,776,NM_001123387.1,776
MUC19,NM_173600.2,177364,NM_173600.2,177364
CARD16,NM_052889.4,3773,NM_001394580.1,3773
SHH,NM_000193.4,12484,NM_000193.4,12484
SLC25A28,XM_006718005.5,48765,XM_024448222.2,48765
LOC105371619,XR_007066737.1,44005,XR_922291.4,44005
LOC105375979,XR_001746623.2,1738,XR_001746623.2,1738
LOC105378714,XR_947325.3,1327,XR_007066076.1,1327
ANKHD1-DT,NR_186045.1,30506,NR_186044.1,30506
LOC107987170,XR_001748946.2,3936,XR_001748946.2,3936
LOC102723906,XR_007058501.1,220555,XR_939593.3,220555
EIF1AD,NM_001242486.2,5613,XM_017018412.3,5613
C1QTNF5,NM_015645.5,7764,NM_015645.5,7764
LOC124902295,XR_007061831.1,2331,XR_007061831.1,2331
LOC105372206,XR_935643.3,15578,XR_935643.3,15578
TRAF6,NM_004620.4,26504,NM_145803.3,26504
KIF26B-AS1,NR_151721.1,28074,NR_151721.1,28074
CEDORA,NR_188498.1,52560,NR_188499.1,52560
LOC124905073,XR_007067952.1,109,XR_007067952.1,109
LINC02468,NR_146523.1,6922,NR_146523.1,6922
LOC107986428,XR_001742759.2,32170,XR_001742759.2,32170
MUC16,NM_001414686.1,216908,NM_001414686.1,231733
SBDSP1,NR_024110.1,8027,NR_024111.1,8027
MCTP1,XM_047417718.1,581405,NM_024717.7,581405
LOC101928107,NR_109961.1,11997,NR_109961.1,11997
FLYWCH2,NM_001142500.1,16188,NM_001142499.1,16188
DEFA8P,NR_073407.1,874,NR_073407.1,874
CLPTM1,NM_001282176.2,38757,NM_001282176.2,38757
CXCL12,NM_001277990.2,14933,NM_000609.7,14933
MITF,NM_001354607.2,228869,NM_001354606.2,228869
LOC124903377,XR_007064325.1,5086,XR_007064325.1,5086
LOC124904342,XR_007066442.1,16297,XR_007066442.1,16297
TM7SF2,NR_102367.2,4359,NM_001277233.2,4359
STARD4-AS1,NR_040093.1,227501,NR_040093.1,227501
CPED1,NM_024913.5,308732,NM_024913.5,308732
NAB1,XM_047444447.1,43872,XM_047444456.1,43872
LOC105374257,XR_001741051.3,18345,XR_001741051.3,18345
LOC105378100,XR_943207.3,4237,XR_943208.3,4237
RAP2A,NM_021033.7,34960,NM_021033.7,34960
ST3GAL1-DT,NR_186508.1,3285,NR_186509.1,3285
PPP1R26,XM_047424216.1,9827,XM_017015358.2,9827
SLX4IP,NM_001009608.3,192726,NM_001009608.3,192726
FUNDC2,NM_023934.4,33461,NM_023934.4,33461
LOC105377590,NR_133944.1,833,NR_133944.1,833
TRIM39-RPP21,NM_001199119.1,17548,NM_001199119.1,17556
SLC25A19,NM_001126122.2,16442,XM_006722007.3,16442
MIR4504,NR_039726.1,92,NR_039726.1,92
MIR4302,NR_036188.1,60,NR_036188.1,60
MAG,NM_080600.3,21647,NM_001199216.2,21647
LOC124902308,XR_007061862.1,4078,XR_007061862.1,4078
LINC01579,NR_138083.1,4541,NR_138083.1,4541
LOC105379444,XR_950677.3,1198,XR_950677.3,1198
LINC00877,NR_104116.1,64937,NR_104116.1,64937
LINC01007,NR_103749.1,6252,NR_103749.1,6252
EBF4,NR_138537.2,67329,XM_006723600.2,67329
PGAM1,NM_002629.4,7254,NM_002629.4,7254
NBR2,NR_138145.1,28115,NR_138145.1,28115
PRPF38B,NM_001349758.2,10619,NM_018061.4,10619
PTPRO,XR_931316.4,275824,NM_002848.4,275824
TSPAN9,XM_047428125.1,209181,NM_001168320.2,209181
LOC105371656,XR_922371.3,62271,XR_922370.3,62271
LOC112268030,XR_002956724.2,71615,XR_002956724.2,71615
LOC107984356,XR_007062531.1,3501,XR_007062531.1,3501
PAOX,NR_109763.2,12433,NM_207127.3,12433
IQSEC3,NM_001170738.2,111689,XM_011520958.3,111689
LRRC3-DT,NR_047476.1,4299,NR_047476.1,4299
LOC105371899,NR_136417.1,18726,NR_136417.1,18726
KIAA1549,NM_020910.3,150009,NM_001164665.2,150009
LOC105375813,XR_928836.1,3058,XR_928836.1,3058
LOC124902662,XR_007062656.1,46307,XR_007062656.1,46307
LOC441081,NR_073404.1,5287,NR_073404.1,5287
SCAND2P,NR_004859.1,11004,NR_003654.2,11004
LOC105370869,XR_932380.3,1170,XR_932380.3,1170
TLE7,NM_001367365.2,12075,NM_001367365.2,12075
LOC105377158,XR_001740749.3,32683,XR_001740749.3,32683
ECI1,NM_001178029.2,12186,NM_001919.4,12186
ENHO,NM_198573.3,1948,NM_198573.3,1948
MIR497,NR_030178.1,112,NR_030178.1,112
DYRK2,NM_006482.3,16662,NM_003583.4,16662
SNTG2-AS1,NR_136151.1,1759,NR_136151.1,1759
LINC00622,NR_036540.1,1590,NR_036540.1,1590
MIR3618,NR_037412.1,88,NR_037412.1,88
SMARCAD1,NR_164736.1,83685,NM_001375858.1,83685
LOC105376425,XR_007062059.1,16759,XR_001747374.2,16759
MBD1,NM_001399961.1,14639,NM_001323953.2,14639
ATP5MGL,NM_001165877.1,799,NM_001165877.1,799
NAGLU,XM_024450771.2,8209,XM_047436138.1,8209
LOC105378906,XR_947706.2,2326,XR_947706.2,2326
LOC124902414,XR_007062130.1,1895,XR_007062130.1,1895
C16orf96,NM_001387219.1,62158,NM_001387219.1,62158
CCNA1,XM_011535294.3,11354,XM_011535295.3,11354
LOC124903654,XR_007065008.1,5682,XR_007069119.1,24815
ZNF425,NM_001001661.3,23541,NM_001001661.3,23541
BCO1,NM_017429.3,52454,XM_011523109.3,52454
LOC105376399,XR_001747362.2,4428,XR_001747362.2,4428
LINC03083,NR_186504.1,2115,NR_186504.1,2115
OR1N1,NM_012363.1,936,NM_012363.1,936
LINC02893,NR_027471.1,33676,NR_027471.1,33676
LOC105371818,XR_934833.3,8026,XR_934832.3,8026
OR52N5,NM_001385662.1,7191,NM_001385662.1,7191
HOXA9,NM_152739.4,3100,NM_152739.4,3100
LINC01743,NR_040002.1,8249,NR_040002.1,8249
TMEM269-DT,NR_133055.2,9083,NR_133055.2,9083
PRDM13,NM_021620.4,8730,NM_021620.4,8730
KIF1A,NM_001379653.1,107637,NM_001379653.1,107637
MIR4486,NR_039706.1,63,NR_039706.1,63
ANKRD28,XR_007095653.1,192579,XM_024453418.2,192579
LOC124900538,XR_007088729.1,69,XR_007088729.1,69
LOC124902550,XR_007062378.1,2666,XR_007062378.1,2666
LOC105374441,XR_925279.3,27509,XR_925279.3,27509
SON,NR_103797.2,34444,NM_001291412.3,34444
CMTR1,XM_047418463.1,57524,XM_047418462.1,57524
ZNF724,XM_024451520.2,28796,NM_001355406.2,28796
LOC107985145,XR_007066440.1,20330,XR_007066440.1,20330
LOC101927436,XR_242964.4,4122,XR_242964.4,4122
LOC124902667,XR_007062663.1,3746,XR_007062663.1,3746
ZNF148,NM_001348426.2,149686,NM_001348427.2,149686
KCTD2,NR_110835.2,33316,NR_110835.2,33316
LOC105373576,XR_923239.2,93637,XR_923239.2,93637
LOC124904653,XR_007067155.1,2254,XR_007067155.1,2254
LOC105378275,XR_945906.4,39799,XR_945906.4,39799
LOC124904197,XR_007066160.1,7786,XR_007066160.1,7786
PAIP2B,NM_020459.1,44366,NM_020459.1,44366
LOC102723730,NR_168373.1,2626,NR_168373.1,2626
OR10Z1,NM_001004478.2,7247,NM_001004478.2,7247
CEP95,XM_047437012.1,31185,XM_047437013.1,31185
LOC105375589,NR_187968.1,853,NR_187968.1,853
LOC124902520,XR_007062329.1,1643,XR_007062329.1,1643
LOC107987245,XR_001752780.3,4954,XR_001752780.3,4954
LOC124902614,XR_007062554.1,6030,XR_007062554.1,6030
MRPL20-AS1,NR_015434.1,2517,NR_015434.1,2517
LOC105379699,NR_182434.1,18468,NR_182433.1,18468
LOC105374704,NR_134264.1,1544,NR_134264.1,1544
LGR4,NM_001346432.2,106830,NM_018490.5,106830
LOC124906369,XR_007096336.1,101,XR_007096336.1,101
LOC124907917,XR_007087331.1,1041,XR_007087331.1,1041
P3H2-AS1,NR_126419.1,23883,NR_126419.1,23883
LMNB2,NM_032737.4,28794,NM_032737.4,28794
LOC105375497,XR_927958.2,9697,XR_927958.2,9697
KCTD10,NR_133898.2,28646,NM_001317395.2,28646
LINC02998,NR_104658.1,84101,NR_104658.1,84101
GSK3B,NM_001354596.2,273127,NM_002093.4,273127
LINC01493,NR_120553.1,6392,NR_120553.1,6392
LOC112268208,XR_002958196.2,53523,XR_002958196.2,53523
SNORD94,NR_004378.1,137,NR_004378.1,137
PCDH10,XM_011532150.2,59313,XM_011532150.2,59313
TPI1,NM_001159287.1,3527,NM_001159287.1,3527
TWIST2,NM_001271893.4,62450,NM_001271893.4,63137
ANAPC1P6,NR_157576.1,6794,NR_157576.1,6794
ATP1A2,NM_000702.4,27833,NM_000702.4,27833
FAM3C,XM_047419775.1,47519,XM_047419775.1,47519
LOC107985334,XR_007067143.1,7870,XR_001753877.2,7870
LOC124903106,XR_007063643.1,103,XR_007063643.1,103
LINC02894,NR_034034.1,2183,NR_034034.1,2183
LOC124900458,XR_007067499.1,23912,XR_007067499.1,23912
LOC105370529,XR_943932.3,149443,XR_943932.3,149443
LOC124903867,XR_007065521.1,17289,XR_007065521.1,17289
MIR4678,NR_039825.1,74,NR_039825.1,74
TBC1D22A,NM_001284304.2,413044,NM_001284303.2,413044
SCEL-AS1,NR_126413.1,6797,NR_126412.1,6797
MIR421,NR_030398.1,85,NR_030398.1,85
POPDC2,XM_047448704.1,18828,XM_047448704.1,18828
TUSC8,NR_104174.1,5735,NR_104174.1,5735
MSI2,XM_047435313.1,445059,XM_047435314.1,445059
MVB12A,NM_001304547.2,19592,NM_001304547.2,19592
DAD1,NM_001344.4,24318,NM_001344.4,24318
LINC01981,NR_132438.1,3251,NR_132438.1,3251
CSF3,NR_168491.1,2374,NM_001178147.2,2374
LOC105370840,XR_932314.3,1626,XR_932314.3,1626
LOC105371854,XR_934897.1,5428,XR_934897.1,5428
LOC124905201,XR_007068274.1,1514,XR_007068274.1,1514
MYH15,XM_011512559.3,170705,XM_011512559.3,170705
GABRA3,XM_006724811.4,285082,NM_000808.4,285082
LOC105373552,XR_001739119.2,3847,XR_923186.2,3847
LOC124903120,XR_007063652.1,164,XR_007063652.1,164
MIR630,NR_030359.1,97,NR_030359.1,97
TFB1M,NR_146725.2,84614,NR_146725.2,84614
GABRD,NM_000815.5,11414,NM_000815.5,11414
DDX55,NR_135104.2,18845,NM_020936.3,18845
SNORD110,NR_003078.1,75,NR_003078.1,75
H2AC18,NM_003516.3,533,NM_003516.3,533
INF2,NM_001426863.1,41403,NM_001426865.1,41403
DEF8,NM_207514.3,19306,XM_017023369.3,19306
ATP6V0A4,NM_130840.3,91903,NM_020632.3,91903
DOT1L,NM_001411141.1,68646,XM_047439515.1,68646
PAK6,NM_001395430.1,38425,NM_001276718.2,38425
HOXC6,NM_153693.5,13936,NM_153693.5,13936
LOC105377366,NR_188426.1,16639,NR_188427.1,16639
ARHGEF2-AS1,XR_001738248.2,10414,XR_001738248.2,10414
LINC01725,NR_119375.1,285210,NR_119375.1,285210
FECH,NM_001371094.1,42326,NM_001371095.1,42326
KLHL29,NM_052920.2,323428,NM_052920.2,323428
LINC01044,NR_126345.1,8659,NR_126345.1,8659
TNR,NM_001328635.2,428402,NM_003285.3,428402
LINC01066,NR_189306.1,1096,NR_189306.1,1096
LOC124902669,XM_047427965.1,2341,XM_047427965.1,2341
ACTL8,NM_030812.3,71731,NM_030812.3,71731
LOC103352541,NR_121624.1,12912,NR_121624.1,12912
PUS7L,NM_001271826.2,39799,NM_001098615.2,39799
MIR4327,NR_036221.1,85,NR_036221.1,85
GSCAR,XR_007058863.1,5388,XR_007058863.1,5388
LOC105374760,XR_940139.2,5222,XR_940139.2,5222
COQ7-DT,NR_119381.1,4938,NR_119380.1,4938
ZDHHC19,XR_007095641.1,13949,NM_001039617.2,13949
LOC107986555,XR_007059403.1,4101,XR_007059403.1,4101
LOC100130331,NR_027247.2,66147,NR_027247.2,66147
CPNE6,NR_169564.1,7139,NM_001385057.1,7139
MIR101-1,NR_029516.1,75,NR_029516.1,75
KIAA0087,NR_022006.1,5705,NR_022006.1,5705
LINC02048,NR_183751.1,1440,NR_183751.1,1440
HDAC11-AS1,NR_046690.1,3067,NR_046690.1,3067
TMEM229B,NM_001348546.2,63582,NM_001348546.2,63582
LRAT,NM_001301645.2,12283,NM_001301645.2,12283
MICB,NM_001289160.2,16207,XM_054330825.1,18482
SIRLNT,NR_156738.1,10191,NR_156738.1,10191
LOC124902666,XR_007062662.1,1386,XR_007062662.1,1386
GRIK1,NM_001320621.2,403064,NM_001330994.2,403064
LOC105377551,XR_939494.3,12675,XR_939494.3,12675
BTNL12P,NR_187255.1,73965,NR_187255.1,73965
PLB1,NM_001170585.2,148083,NM_153021.5,148083
CHST13,NM_152889.3,19137,NM_152889.3,19137
LOC124901746,XR_007060524.1,4519,XR_007060524.1,4519
LOC102724971,XM_011543804.4,820,XM_011543804.4,820
LOC124900752,XM_047416528.1,3032,XM_047416528.1,3032
LOC105378258,XR_007063492.1,33706,XR_007063492.1,33706
CLEC18C,NM_173619.4,13109,NM_173619.4,13109
LOC643441,NR_038846.1,9473,NR_038846.1,9473
CTC-338M12.4,NR_109909.1,11046,NR_109909.1,11046
ERVFRD-1,NM_207582.3,9237,NM_207582.3,9237
MTREX,NM_015360.5,117591,NM_015360.5,117591
FAM186A,NM_001145475.3,69301,NM_001145475.3,69301
SMC4,XM_011512311.3,35304,XM_011512312.3,35304
LOC124902089,XR_007061219.1,105,XR_007061219.1,105
LOC124901093,XR_007058974.1,10922,XR_007058974.1,10922
KRTAP19-4,NM_181610.3,342,NM_181610.3,342
MTRES1,XM_017010920.2,23388,NM_016487.5,23388
LHX6,NM_199160.4,26376,NM_014368.5,26376
FAM90A7,NM_001397387.1,3013,NM_001397387.1,3013
LOC102725112,XR_007062082.1,39354,XR_007062082.1,39354
TNXB,NM_019105.8,68186,NM_001428335.1,68197
LOC105375036,XR_007059564.1,6058,XR_007059564.1,6058
SHOC2,NM_001324336.2,94296,NM_001324336.2,94296
CYTIP,NM_004288.5,29471,NM_004288.5,29471
C1RL,NM_001297640.2,14661,NM_001297642.2,14661
LOC105375582,XR_001745001.3,4769,XR_001745001.3,4769
LOC124900291,XR_007062398.1,136,XR_007062398.1,136
LYRM4,XM_017011084.3,229198,XM_017011084.3,229198
THAP11,NM_020457.3,1876,NM_020457.3,1876
LOC105375053,XR_926790.3,30660,XR_926790.3,30660
LOC124903965,XR_007065689.1,12758,XR_007065689.1,12758
LOC124907857,XR_007087139.1,11868,XR_007087139.1,11868
TNFSF10,NR_033994.2,17923,NM_003810.4,17923
CHM,NM_000390.4,186379,XM_047441793.1,186379
LOC124900231,XR_007060210.1,40219,XR_007060210.1,40219
LOC107984124,XR_007060857.1,46187,XR_007060857.1,46187
ZEB1-AS1,NR_148978.1,11379,NR_148979.1,11379
MIR12123,NR_162137.1,87,NR_162137.1,87
AEBP1,NM_001129.5,10216,XM_011515162.2,10216
LOC124905282,XR_007068444.1,99,XR_007068444.1,99
ARHGEF38-IT1,NR_046840.1,8648,NR_046840.1,8648
LOC105371963,XR_001753322.2,3110,XR_001753322.2,3110
LOC124902132,XR_007061438.1,5281,XR_007061438.1,5281
LOC107986546,XR_007059880.1,12005,XR_007059880.1,12005
SNORD83B,NR_000028.1,93,NR_000028.1,93
LOC124901869,XR_007060782.1,36226,XR_007060782.1,36226
LOC124904402,XR_007066574.1,9582,XR_007066574.1,9582
LOC105376314,NR_188683.1,6684,NR_188683.1,6684
LOC105378299,XR_945951.3,5039,XR_945951.3,5039
MIR6818,NR_106876.1,65,NR_106876.1,65
MIR6880,NR_106940.1,62,NR_106940.1,62
TMEM17,XM_011532694.3,52665,XM_011532694.3,52665
EPG5,XM_047437710.1,166749,XM_047437703.1,166749
DERL2,XM_047436186.1,15564,XM_047436188.1,15564
IFI6,NM_002038.4,6129,NM_022873.3,6129
SNORA38B,NR_003706.2,132,NR_003706.2,132
FOXA3,NM_004497.3,9472,NM_004497.3,9472
LOC105376577,XR_007062611.1,2763,XR_007062611.1,2763
LOC124900850,XR_007058449.1,19731,XR_007058449.1,19731
LOC124903244,XR_007063937.1,4964,XR_007063937.1,4964
ZNF485,NM_001318140.2,11467,NM_001318141.2,11467
LOC112268210,XR_002958207.2,2962,XR_002958207.2,2962
EID2B,NM_152361.3,1866,NM_152361.3,1866
LOC107985132,XR_001753537.1,2313,XR_001753537.1,2313
VEGFD,NM_004469.5,38818,NM_004469.5,38818
LOC105374976,XR_001744046.2,289589,XR_001744046.2,289589
LINC02636,NR_184064.1,23470,NR_184065.1,23470
WNT16,NM_016087.2,15738,NM_016087.2,15738
MRAP2,XM_017010221.3,112511,XM_017010221.3,112511
SIPA1L1-AS1,NR_184174.1,29125,NR_184176.1,29125
SPX,NM_030572.4,6652,NM_030572.4,6652
CDC37L1,NM_017913.4,28831,NM_017913.4,28831
NAIP,NM_022892.2,57174,XM_047443284.1,132284
RMDN1,XM_005250948.4,44515,XM_005250948.4,44515
TWF2-DT,NR_135307.1,1860,NR_135307.1,1860
HEPACAM,XM_005271449.3,16843,NM_001411043.1,16843
LOC105378011,XR_001744368.2,40301,XR_001744368.2,40301
LOC124904252,XR_007066298.1,2149,XR_007066298.1,2149
MIR8071-1,NR_107038.1,65,NR_107038.1,65
TMEM94,XM_047437170.1,43818,XM_047437180.1,43818
TTYH2,NM_032646.6,48450,NM_032646.6,48450
ZC3H11A,NM_001319238.2,58502,NM_001376365.1,58502
ZNF25-DT,XR_930830.4,27801,XR_930830.4,27801
LINC03109,XR_002959654.2,66028,XR_002959654.2,66028
SNORA104,NR_132784.1,139,NR_132784.1,139
LOC101929976,XR_427200.3,48061,XR_427200.3,48061
GRIK5,NM_002088.5,71883,NM_002088.5,71883
LINC00570,NR_047499.1,9097,NR_047499.1,9097
LOC105377715,XR_941204.3,101339,XR_941204.3,101339
RASA3,XM_047430157.1,154841,XM_047430155.1,154841
KLC2-AS2,NR_186342.1,863,NR_186342.1,863
PYY,NM_004160.6,51713,NM_004160.6,51713
SYCP1,XM_017002184.2,141283,XM_017002184.2,141283
SMARCE1,NM_003079.5,22857,NM_003079.5,22857
LOC105376289,XR_007061813.1,27937,XR_007061813.1,27937
PXN-AS1,NR_038924.1,11538,NR_038924.1,11538
LOC124901474,XR_007059897.1,12992,XR_007068618.1,15288
LOC105372100,XR_935438.3,26747,XR_935438.3,26747
LOC105373122,XR_001738507.1,12771,XR_949232.2,12771
LINC01396,NR_125765.1,6391,NR_125765.1,6391
SF3B5,NM_031287.3,690,NM_031287.3,690
HORMAD2,XM_047441154.1,129725,XM_047441154.1,129725
NTSR2,XM_005246156.4,12018,NM_012344.4,12018
SLC25A29,XR_007063984.1,27878,XR_007063984.1,27878
LOC124903928,XR_007065622.1,6324,XR_007065622.1,6324
LIFR-AS1,NR_103554.1,114431,NR_103554.1,114431
LOC105375581,XR_007060600.1,9924,XR_007060600.1,9924
EMC6,NM_001014764.3,854,NM_031298.4,854
LOC107984521,XR_007063348.1,3636,XR_007063348.1,3636
LOC105372310,XR_007067164.1,148126,XR_007067164.1,148126
LOC105374151,XR_924574.3,11379,XR_924573.3,11379
LOC105375716,XR_007061067.1,436284,XR_007061068.1,436284
KRT77,NM_175078.3,13899,NM_175078.3,13899
PIGN,XM_047437461.1,169442,XM_047437431.1,169442
RPL18A,NM_000980.4,3410,NM_000980.4,3410
LOC124901471,XR_007059892.1,3088,XR_007059892.1,3088
ZIM2,NR_163141.1,66180,NM_001369770.1,66180
MIR663AHG,NR_040095.1,22215,NR_040095.1,22215
LOC105375193,XR_927103.2,649,XR_927103.2,649
TCL1B,NM_004918.4,6203,NM_004918.4,6203
SLCO2B1,NM_007256.5,55443,NM_001145212.3,55443
LOC124902250,XR_007061735.1,6427,XR_007061735.1,6427
DCAF17,NR_028482.2,50827,XM_047445912.1,50827
ADPRM,NM_020233.5,13965,NM_020233.5,13965
LOC107984334,XR_001748245.2,5974,XR_001748245.2,5974
LOC124904330,XR_007066423.1,6722,XR_007066423.1,6722
SLC6A10P,NR_003083.3,7670,NR_003083.3,7670
LOC124903332,XR_007064219.1,32329,XR_007064219.1,32329
LOC105372624,XR_007067589.1,16712,XR_007067590.1,16712
ZBTB20,NM_015642.7,832789,NM_001348802.3,832789
LOC101928708,NR_110939.1,14316,NR_110939.1,14316
LOC124904362,XR_007066476.1,205,XR_007066476.1,205
DIDO1,NM_033081.3,60162,NM_033081.3,60162
MIR507,NR_030234.1,94,NR_030234.1,94
RLBP1,XM_011521870.3,11711,XM_047432927.1,11711
LINC00861,NR_038447.1,28675,NR_038447.1,28675
USP17L26,NM_001242328.1,1593,NM_001242328.1,1593
LINC00494,NR_026958.1,10728,NR_026958.1,10728
TBRG4,NM_199122.3,11598,NM_004749.4,11598
LOC105374108,XR_924486.3,1836,XR_924486.3,1836
SART1,NM_005146.5,18404,NM_005146.5,18404
LOC105376326,XR_930448.2,1475,XR_930448.2,1475
TCEANC2,NR_130900.2,58913,NR_130900.2,58913
HCLS1,NM_001292041.2,29505,NM_005335.6,29505
LOC124902198,XR_007061644.1,7504,XR_007061644.1,7504
SNORD115-7,NR_003299.1,82,NR_003299.1,82
AMIGO3,NM_198722.3,2856,NM_198722.3,2856
SNORD35A,NR_000018.1,86,NR_000018.1,86
SELENOM,NM_080430.4,2792,NM_080430.4,2792
MTCL1,XM_024451115.2,127223,XM_047437399.1,127223
PLXNA3,NM_017514.5,19499,NM_017514.5,19499
LOC124900871,XR_007058495.1,5734,XR_007058495.1,5734
GNAQ,NM_002072.5,315715,NM_002072.5,315715
LINC01656,NR_109966.1,1462,NR_109966.1,1462
CEP97,NM_024548.4,45949,NM_001410785.1,45949
LOC105377407,XR_939176.3,218744,XR_939176.3,218744
LINC02380,NR_125907.1,40115,NR_125907.1,40115
IGF2-AS,NR_028043.2,8155,NR_133657.1,8155
RGS16,XM_024448796.1,5767,NM_002928.4,5767
LOC107986674,XR_001744483.2,21630,XR_001744483.2,21630
BTBD9-AS1,NR_144472.1,932,NR_144472.1,932
FAM25C,NM_001137548.3,4470,NM_001137548.3,4470
LOC124904021,XR_007065835.1,1975,XR_007065835.1,1975
MIR5094,NR_049817.1,85,NR_049817.1,85
MIR6885,NR_106945.1,66,NR_106945.1,66
LINC03011,NR_134573.1,1843,NR_134573.1,1843
CABP1-DT,NR_183426.1,10912,NR_183426.1,10912
LOC102723638,XR_002956247.2,4589,XR_002956247.2,4589
LOC124900324,XR_007063628.1,83,XR_007063628.1,83
PLEKHN1,NM_001410697.1,9384,NM_032129.3,9384
TRDN-AS1,NR_110844.1,32153,NR_110844.1,32153
MIR6505,NR_106760.1,71,NR_106760.1,71
HEYL,NM_014571.4,16209,NM_014571.4,16209
CXCL5,NM_002994.5,3036,NM_002994.5,3036
DCAF12L1,NM_178470.5,3432,NM_178470.5,3432
LOC124901807,XM_047421171.1,1492,XM_047421171.1,1492
MIR12115,NR_162129.1,74,NR_162129.1,74
F12,NM_000505.4,7424,NM_000505.4,7424
XPO7,NR_156173.2,86924,NM_001362802.2,86924
SLC26A3,NM_000111.3,37755,NM_000111.3,37755
DMPK,NM_001424166.1,12774,NM_001081563.3,12774
EBLN2,NM_018029.4,1679,NM_018029.4,1679
LOC105375488,XR_927935.1,20079,XR_927935.1,20079
FAM90A25P,NR_073395.1,3512,NR_073395.1,3512
LOC105372663,XR_936848.3,30555,XR_936848.3,30555
GCDH,NR_102317.1,8871,NR_102316.1,8871
SYNJ1,NM_003895.4,99632,NM_003895.4,99632
LOC124905119,XR_007068104.1,2931,XR_007068104.1,2931
CDH13-AS1,XR_007065144.1,16386,XR_007065144.1,16386
ZBED6,NM_001395895.1,58502,NM_001395895.1,58502
LOC101926935,NR_110001.1,9355,NR_110001.1,9355
LOC124901965,XR_007060975.1,8835,XR_007060975.1,8835
HRH2,NR_160284.1,52686,NM_001367711.1,52686
MAMDC4,NM_206920.3,8454,NM_206920.3,8454
MAP9-AS1,NR_125937.1,6246,NR_125937.1,6246
FRMD6-AS2,NR_051990.1,145441,NR_051990.1,145441
METTL2A,NM_181725.4,29489,NM_181725.4,29489
